Andorra la Vella	_	Andorra	_	Andorra la Vella	_	3041563
Kushk	_	Afghanistan	_	Herat	_	1135158
Kunduz	_	Afghanistan	_	Kunduz	_	1135689
Khost	_	Afghanistan	_	Khowst	_	1136469
Khulm	_	Afghanistan	_	Balkh	_	1136575
Khash	_	Afghanistan	_	Nimruz	_	1136863
Khanabad	_	Afghanistan	_	Kunduz	_	1137168
Karukh	_	Afghanistan	_	Herat	_	1137807
Kandahar	_	Afghanistan	_	Kandahar	_	1138336
Kabul	_	Afghanistan	_	Kabul	_	1138958
Jalalabad	_	Afghanistan	_	Nangarhar	_	1139715
Jabal os Saraj	_	Afghanistan	_	Parvan	_	1139807
Herat	_	Afghanistan	_	Herat	_	1140026
Ghormach	_	Afghanistan	_	Badghis	_	1141089
Ghazni	_	Afghanistan	_	Ghazni	_	1141269
Gereshk	_	Afghanistan	_	Helmand	_	1141540
Gardez	_	Afghanistan	_	Paktia	_	1141857
Fayzabad	_	Afghanistan	_	Badakhshan	_	1142170
Farah	_	Afghanistan	_	Farah	_	1142264
Kafir Qala	_	Afghanistan	_	Herat	_	1142404
Charikar	_	Afghanistan	_	Parvan	_	1145352
Baraki Barak	_	Afghanistan	_	Lowgar	_	1147066
Bamyan	_	Afghanistan	_	Bamian	_	1147242
Balkh	_	Afghanistan	_	Balkh	_	1147290
Baghlan	_	Afghanistan	_	Wilayat e Baghlan	_	1147540
art Khwajah	_	Afghanistan	_	Takhar	_	1148106
asmar	_	Afghanistan	_	Konar	_	1148205
Asadabad	_	Afghanistan	_	Konar	_	1148311
Andkhoy	_	Afghanistan	_	Faryab	_	1148658
Bazarak	_	Afghanistan	_	Panjshir	_	1429434
Markaz e Woluswali ye achin	_	Afghanistan	_	Nangarhar	_	1469706
Saint Johns	_	Antigua and Barbuda	_	Saint John	_	3576022
The Valley	_	Anguilla	_	N/A	_	3573374
Sarande	_	Albania	_	Vlore	_	363243
Kukes	_	Albania	_	Kukes	_	782661
Korce	_	Albania	_	Korce	_	782756
Gjirokaster	_	Albania	_	Gjirokaster	_	783148
Elbasan	_	Albania	_	Elbasan	_	783263
Burrel	_	Albania	_	Diber	_	783493
Vlore	_	Albania	_	Vlore	_	3183719
Tirana	_	Albania	_	Tirane	_	3183875
Shkoder	_	Albania	_	Shkoder	_	3184081
Patos Fshat	_	Albania	_	Fier	_	3184517
Lushnje	_	Albania	_	Fier	_	3184862
Lezhe	_	Albania	_	Lezhe	_	3184935
Lac	_	Albania	_	Lezhe	_	3185012
Kucove	_	Albania	_	Berat	_	3185060
Kruje	_	Albania	_	Durres	_	3185082
Kavaje	_	Albania	_	Tirane	_	3185211
Fier cifci	_	Albania	_	Fier	_	3185670
Fier	_	Albania	_	Fier	_	3185672
Durres	_	Albania	_	Durres	_	3185728
Berat	_	Albania	_	Berat	_	3186084
Kapan	_	Armenia	_	Syunik Province	_	174875
Goris	_	Armenia	_	Syunik Province	_	174895
Hatsavan	_	Armenia	_	Syunik Province	_	174972
Artashat	_	Armenia	_	Ararat Province	_	174979
Ararat	_	Armenia	_	Ararat Province	_	174991
Yerevan	_	Armenia	_	Yerevan	_	616052
Ejmiatsin	_	Armenia	_	Armavir Province	_	616062
Spitak	_	Armenia	_	Lori Province	_	616199
Sevan	_	Armenia	_	Gegharkunik Province	_	616250
Masis	_	Armenia	_	Ararat Province	_	616435
Vanadzor	_	Armenia	_	Lori Province	_	616530
Gavarr	_	Armenia	_	Gegharkunik Province	_	616599
Hrazdan	_	Armenia	_	Kotayk Province	_	616629
Armavir	_	Armenia	_	Armavir Province	_	616631
Gyumri	_	Armenia	_	Shirak Province	_	616635
Ashtarak	_	Armenia	_	Aragatsotn Province	_	616877
Abovyan	_	Armenia	_	Kotayk Province	_	617026
Saurimo	_	Angola	_	Lunda Sul	_	145531
Lucapa	_	Angola	_	Lunda Norte	_	145724
Luau	_	Angola	_	Moxico	_	876177
Uige	_	Angola	_	Uige	_	2236568
Soio	_	Angola	_	Zaire	_	2236967
Nzeto	_	Angola	_	Zaire	_	2239001
Ndalatando	_	Angola	_	Cuanza Norte	_	2239076
Mbanza Congo	_	Angola	_	Zaire	_	2239520
Malanje	_	Angola	_	Malanje	_	2239862
Luanda	_	Angola	_	Luanda	_	2240449
Caxito	_	Angola	_	Bengo	_	2242001
Cabinda	_	Angola	_	Cabinda	_	2243271
Sumbe	_	Angola	_	Cuanza Sul	_	3346015
Namibe	_	Angola	_	Namibe	_	3347019
Menongue	_	Angola	_	Cuando Cubango	_	3347353
Luena	_	Angola	_	Moxico	_	3347719
Lubango	_	Angola	_	Huila	_	3347762
Longonjo	_	Angola	_	Huambo	_	3347853
Lobito	_	Angola	_	Benguela	_	3347939
Cuito	_	Angola	_	Bie	_	3348078
Huambo	_	Angola	_	Huambo	_	3348313
Catumbela	_	Angola	_	Benguela	_	3350246
Catabola	_	Angola	_	Bie	_	3350372
Camacupa	_	Angola	_	Bie	_	3351014
Caluquembe	_	Angola	_	Huila	_	3351024
Caala	_	Angola	_	Huambo	_	3351500
Benguela	_	Angola	_	Benguela	_	3351663
Zarate	_	Argentina	_	Buenos Aires	_	3427213
Villa Ocampo	_	Argentina	_	Santa Fe	_	3427388
Villa Lugano	_	Argentina	_	Buenos Aires FD	_	3427408
Villaguay	_	Argentina	_	Entre Rios	_	3427428
Villa Gesell	_	Argentina	_	Buenos Aires	_	3427431
Tigre	_	Argentina	_	Buenos Aires	_	3427761
Tandil	_	Argentina	_	Buenos Aires	_	3427833
San Vicente	_	Argentina	_	Misiones	_	3428068
Santo Tome	_	Argentina	_	Corrientes	_	3428071
Santa Elena	_	Argentina	_	Entre Rios	_	3428359
San Pedro	_	Argentina	_	Misiones	_	3428577
San Luis del Palmar	_	Argentina	_	Corrientes	_	3428708
San Lorenzo	_	Argentina	_	Corrientes	_	3428759
San Javier	_	Argentina	_	Santa Fe	_	3428975
San isidro	_	Argentina	_	Buenos Aires	_	3428992
Saladas	_	Argentina	_	Corrientes	_	3429403
Retiro	_	Argentina	_	Buenos Aires FD	_	3429576
Resistencia	_	Argentina	_	Chaco	_	3429577
Reconquista	_	Argentina	_	Santa Fe	_	3429594
Quilmes	_	Argentina	_	Buenos Aires	_	3429652
Puerto Rico	_	Argentina	_	Misiones	_	3429732
Puerto iguazu	_	Argentina	_	Misiones	_	3429777
Puerto Esperanza	_	Argentina	_	Misiones	_	3429786
Puerto Eldorado	_	Argentina	_	Misiones	_	3429790
Posadas	_	Argentina	_	Misiones	_	3429886
Pontevedra	_	Argentina	_	Buenos Aires	_	3429902
Pirane	_	Argentina	_	Formosa	_	3429949
Paso de los Libres	_	Argentina	_	Corrientes	_	3430104
Obera	_	Argentina	_	Misiones	_	3430340
Necochea	_	Argentina	_	Buenos Aires	_	3430443
Moron	_	Argentina	_	Buenos Aires	_	3430545
Monte Caseros	_	Argentina	_	Corrientes	_	3430598
Montecarlo	_	Argentina	_	Misiones	_	3430601
Mercedes	_	Argentina	_	Buenos Aires	_	3430708
Mercedes	_	Argentina	_	Corrientes	_	3430709
Mar del Plata	_	Argentina	_	Buenos Aires	_	3430863
Lujan	_	Argentina	_	Buenos Aires	_	3430988
La Plata	_	Argentina	_	Buenos Aires	_	3432043
La Paz	_	Argentina	_	Entre Rios	_	3432079
Jardin America	_	Argentina	_	Misiones	_	3433349
Gualeguaychu	_	Argentina	_	Entre Rios	_	3433658
Gualeguay	_	Argentina	_	Entre Rios	_	3433663
Goya	_	Argentina	_	Corrientes	_	3433715
Gobernador ingeniero Valentin Virasoro	_	Argentina	_	Corrientes	_	3433753
General Jose de San Martin	_	Argentina	_	Chaco	_	3433803
Garupa	_	Argentina	_	Misiones	_	3433836
Formosa	_	Argentina	_	Formosa	_	3433899
Fontana	_	Argentina	_	Chaco	_	3433901
Federal	_	Argentina	_	Entre Rios	_	3433956
Esquina	_	Argentina	_	Corrientes	_	3434095
El Soberbio	_	Argentina	_	Misiones	_	3434291
Dolores	_	Argentina	_	Buenos Aires	_	3435038
Curuzu Cuatia	_	Argentina	_	Corrientes	_	3435103
Corrientes	_	Argentina	_	Corrientes	_	3435217
Concordia	_	Argentina	_	Entre Rios	_	3435261
Concepcion del Uruguay	_	Argentina	_	Entre Rios	_	3435264
Colegiales	_	Argentina	_	Buenos Aires FD	_	3435356
Chajari	_	Argentina	_	Entre Rios	_	3435486
Campana	_	Argentina	_	Buenos Aires	_	3435810
Buenos Aires	_	Argentina	_	Buenos Aires FD	_	3435910
Barranqueras	_	Argentina	_	Chaco	_	3436124
Azul	_	Argentina	_	Buenos Aires	_	3436199
Avellaneda	_	Argentina	_	Santa Fe	_	3436230
Aristobulo del Valle	_	Argentina	_	Misiones	_	3436287
Zapala	_	Argentina	_	Neuquen	_	3832132
Yerba Buena	_	Argentina	_	Tucuman	_	3832260
Villa Regina	_	Argentina	_	Rio Negro	_	3832647
Villa Paula de Sarmiento	_	Argentina	_	San Juan	_	3832653
Villa Nueva	_	Argentina	_	Cordoba	_	3832662
Villa Maria	_	Argentina	_	Cordoba	_	3832694
Villa Dolores	_	Argentina	_	Cordoba	_	3832756
Villa Constitucion	_	Argentina	_	Santa Fe	_	3832778
Villa Carlos Paz	_	Argentina	_	Cordoba	_	3832791
Villa angela	_	Argentina	_	Chaco	_	3832811
Villa Allende	_	Argentina	_	Cordoba	_	3832815
Viedma	_	Argentina	_	Rio Negro	_	3832899
Victoria	_	Argentina	_	Entre Rios	_	3832934
Vera	_	Argentina	_	Santa Fe	_	3833027
Venado Tuerto	_	Argentina	_	Santa Fe	_	3833062
Veinticinco de Mayo	_	Argentina	_	Buenos Aires	_	3833112
Ushuaia	_	Argentina	_	Tierra del Fuego	_	3833367
Unquillo	_	Argentina	_	Cordoba	_	3833412
Tres isletas	_	Argentina	_	Chaco	_	3833794
Tres Arroyos	_	Argentina	_	Buenos Aires	_	3833859
Trelew	_	Argentina	_	Chubut	_	3833883
Termas de Rio Hondo	_	Argentina	_	Santiago del Estero	_	3834502
Tartagal	_	Argentina	_	Salta	_	3834601
Tafi Viejo	_	Argentina	_	Tucuman	_	3834813
Sunchales	_	Argentina	_	Santa Fe	_	3834971
Santo Tome	_	Argentina	_	Santa Fe	_	3835793
Santiago del Estero	_	Argentina	_	Santiago del Estero	_	3835869
Santa Rosa	_	Argentina	_	La Pampa	_	3835994
Santa Lucia	_	Argentina	_	San Juan	_	3836194
Santa Fe de la Vera Cruz	_	Argentina	_	Santa Fe	_	3836277
San Salvador de Jujuy	_	Argentina	_	Jujuy	_	3836564
San Ramon de la Nueva Oran	_	Argentina	_	Salta	_	3836620
San Rafael	_	Argentina	_	Mendoza	_	3836669
San Pedro	_	Argentina	_	Jujuy	_	3836772
San Nicolas de los Arroyos	_	Argentina	_	Buenos Aires	_	3836846
San Miguel de Tucuman	_	Argentina	_	Tucuman	_	3836873
San Martin de los Andes	_	Argentina	_	Neuquen	_	3836951
San Martin	_	Argentina	_	Mendoza	_	3836992
San Luis	_	Argentina	_	San Luis	_	3837056
San Justo	_	Argentina	_	Santa Fe	_	3837124
San Juan	_	Argentina	_	San Juan	_	3837213
San Jose de Jachal	_	Argentina	_	San Juan	_	3837240
San Jorge	_	Argentina	_	Santa Fe	_	3837441
San Francisco	_	Argentina	_	Cordoba	_	3837675
San Fernando del Valle de Catamarca	_	Argentina	_	Catamarca	_	3837702
San Antonio Oeste	_	Argentina	_	Rio Negro	_	3837980
Salta	_	Argentina	_	Salta	_	3838233
Rufino	_	Argentina	_	Santa Fe	_	3838506
Rosario	_	Argentina	_	Santa Fe	_	3838583
Rio Tercero	_	Argentina	_	Cordoba	_	3838793
Rio Segundo	_	Argentina	_	Cordoba	_	3838797
Rio Gallegos	_	Argentina	_	Santa Cruz	_	3838859
Rio Cuarto	_	Argentina	_	Cordoba	_	3838874
Rio Ceballos	_	Argentina	_	Cordoba	_	3838902
Rawson	_	Argentina	_	Chubut	_	3839307
Rafaela	_	Argentina	_	Santa Fe	_	3839479
Quitilipi	_	Argentina	_	Chaco	_	3839490
Punta Alta	_	Argentina	_	Buenos Aires	_	3839982
Puerto Madryn	_	Argentina	_	Chubut	_	3840092
Presidencia Roque Saenz Pena	_	Argentina	_	Chaco	_	3840300
Pocito	_	Argentina	_	San Juan	_	3840860
Plottier	_	Argentina	_	Neuquen	_	3840885
Pergamino	_	Argentina	_	Buenos Aires	_	3841490
Perez	_	Argentina	_	Santa Fe	_	3841500
Parana	_	Argentina	_	Entre Rios	_	3841956
Palpala	_	Argentina	_	Jujuy	_	3842190
Olavarria	_	Argentina	_	Buenos Aires	_	3842670
Nueve de Julio	_	Argentina	_	Buenos Aires	_	3842881
Neuquen	_	Argentina	_	Neuquen	_	3843123
Morteros	_	Argentina	_	Cordoba	_	3843619
Monteros	_	Argentina	_	Tucuman	_	3843803
Mendoza	_	Argentina	_	Mendoza	_	3844421
Marcos Juarez	_	Argentina	_	Cordoba	_	3844899
Machagai	_	Argentina	_	Chaco	_	3845330
Lincoln	_	Argentina	_	Buenos Aires	_	3846864
Libertador General San Martin	_	Argentina	_	Jujuy	_	3846915
Las Brenas	_	Argentina	_	Chaco	_	3848687
La Rioja	_	Argentina	_	La Rioja	_	3848950
La Falda	_	Argentina	_	Cordoba	_	3851331
La Calera	_	Argentina	_	Cordoba	_	3852374
Laboulaye	_	Argentina	_	Cordoba	_	3852468
Junin	_	Argentina	_	Buenos Aires	_	3853354
Joaquin V Gonzalez	_	Argentina	_	Salta	_	3853491
Jesus Maria	_	Argentina	_	Cordoba	_	3853510
Granadero Baigorria	_	Argentina	_	Santa Fe	_	3854895
Gobernador Galvez	_	Argentina	_	Santa Fe	_	3854985
General Roca	_	Argentina	_	Rio Negro	_	3855065
General Pinedo	_	Argentina	_	Chaco	_	3855074
General Pico	_	Argentina	_	La Pampa	_	3855075
General Enrique Mosconi	_	Argentina	_	Salta	_	3855116
Galvez	_	Argentina	_	Santa Fe	_	3855244
Firmat	_	Argentina	_	Santa Fe	_	3855554
Famailla	_	Argentina	_	Tucuman	_	3855666
Esquel	_	Argentina	_	Chubut	_	3855974
Esperanza	_	Argentina	_	Santa Fe	_	3856022
Embarcacion	_	Argentina	_	Salta	_	3856231
Embalse	_	Argentina	_	Cordoba	_	3856235
El Bolson	_	Argentina	_	Rio Negro	_	3858765
Diamante	_	Argentina	_	Entre Rios	_	3859384
Dean Funes	_	Argentina	_	Cordoba	_	3859512
Cutral Co	_	Argentina	_	Neuquen	_	3859552
Cruz del Eje	_	Argentina	_	Cordoba	_	3859828
Crespo	_	Argentina	_	Entre Rios	_	3859904
Cosquin	_	Argentina	_	Cordoba	_	3859965
Coronel Suarez	_	Argentina	_	Buenos Aires	_	3860164
Coronda	_	Argentina	_	Santa Fe	_	3860217
Cordoba	_	Argentina	_	Cordoba	_	3860259
Comodoro Rivadavia	_	Argentina	_	Chubut	_	3860443
Cipolletti	_	Argentina	_	Rio Negro	_	3861056
Cinco Saltos	_	Argentina	_	Rio Negro	_	3861061
Chivilcoy	_	Argentina	_	Buenos Aires	_	3861344
Chimbas	_	Argentina	_	San Juan	_	3861416
Chilecito	_	Argentina	_	La Rioja	_	3861445
Charata	_	Argentina	_	Chaco	_	3861678
Chacabuco	_	Argentina	_	Buenos Aires	_	3861953
Centenario	_	Argentina	_	Neuquen	_	3862144
Caucete	_	Argentina	_	San Juan	_	3862240
Catriel	_	Argentina	_	Rio Negro	_	3862254
Castelli	_	Argentina	_	Chaco	_	3862320
Casilda	_	Argentina	_	Santa Fe	_	3862351
Carcarana	_	Argentina	_	Santa Fe	_	3862655
Capitan Bermudez	_	Argentina	_	Santa Fe	_	3862738
Canada de Gomez	_	Argentina	_	Santa Fe	_	3862981
Caleta Olivia	_	Argentina	_	Santa Cruz	_	3863379
Bell Ville	_	Argentina	_	Cordoba	_	3864331
Bella Vista	_	Argentina	_	Tucuman	_	3864375
Bahia Blanca	_	Argentina	_	Buenos Aires	_	3865086
Arroyo Seco	_	Argentina	_	Santa Fe	_	3865385
Arroyito	_	Argentina	_	Cordoba	_	3865424
Anatuya	_	Argentina	_	Santiago del Estero	_	3865840
Alta Gracia	_	Argentina	_	Cordoba	_	3866163
Allen	_	Argentina	_	Rio Negro	_	3866242
Alderetes	_	Argentina	_	Tucuman	_	3866367
Albardon	_	Argentina	_	San Juan	_	3866425
Aguilares	_	Argentina	_	Tucuman	_	3866496
Villa Santa Rita	_	Argentina	_	Buenos Aires FD	_	6693230
Villa Mercedes	_	Argentina	_	San Luis	_	7116866
San Carlos de Bariloche	_	Argentina	_	Rio Negro	_	7647007
Adrogue	_	Argentina	_	Buenos Aires	_	10172104
Pago Pago	_	American Samoa	_	Eastern District	_	5881576
Wolfsberg	_	Austria	_	Carinthia	_	2760910
Wiener Neustadt	_	Austria	_	Lower Austria	_	2761353
Vienna	_	Austria	_	Vienna	_	2761369
Wels	_	Austria	_	Upper Austria	_	2761524
Weinzierl bei Krems	_	Austria	_	Lower Austria	_	2761669
Villach	_	Austria	_	Carinthia	_	2762372
Traun	_	Austria	_	Upper Austria	_	2763423
Traiskirchen	_	Austria	_	Lower Austria	_	2763460
Ternitz	_	Austria	_	Lower Austria	_	2763795
Steyr	_	Austria	_	Upper Austria	_	2764359
Spittal an der Drau	_	Austria	_	Carinthia	_	2764786
Schwechat	_	Austria	_	Lower Austria	_	2765388
Sankt Polten	_	Austria	_	Lower Austria	_	2766429
Salzburg	_	Austria	_	Salzburg	_	2766824
Saalfelden am Steinernen Meer	_	Austria	_	Salzburg	_	2766922
Modling	_	Austria	_	Lower Austria	_	2771335
Lustenau	_	Austria	_	Vorarlberg	_	2772173
Linz	_	Austria	_	Upper Austria	_	2772400
Leonding	_	Austria	_	Upper Austria	_	2772635
Leoben	_	Austria	_	Styria	_	2772649
Kufstein	_	Austria	_	Tyrol	_	2773300
Krems an der Donau	_	Austria	_	Lower Austria	_	2773549
Klosterneuburg	_	Austria	_	Lower Austria	_	2773913
Klagenfurt am Worthersee	_	Austria	_	Carinthia	_	2774326
Kapfenberg	_	Austria	_	Styria	_	2774773
innsbruck	_	Austria	_	Tyrol	_	2775220
Hallein	_	Austria	_	Salzburg	_	2776951
Graz	_	Austria	_	Styria	_	2778067
Feldkirch	_	Austria	_	Vorarlberg	_	2779674
Dornbirn	_	Austria	_	Vorarlberg	_	2780741
Bregenz	_	Austria	_	Vorarlberg	_	2781503
Braunau am inn	_	Austria	_	Upper Austria	_	2781520
Baden	_	Austria	_	Lower Austria	_	2782067
Amstetten	_	Austria	_	Lower Austria	_	2782555
Ansfelden	_	Austria	_	Salzburg	_	3323063
Whyalla	_	Australia	_	South Australia	_	2058430
Rockingham	_	Australia	_	Western Australia	_	2062338
Prospect	_	Australia	_	South Australia	_	2062944
Port Hedland	_	Australia	_	Western Australia	_	2063042
Perth	_	Australia	_	Western Australia	_	2063523
Murray Bridge	_	Australia	_	South Australia	_	2065176
Mount isa	_	Australia	_	Queensland	_	2065594
Morphett Vale	_	Australia	_	South Australia	_	2065740
Mandurah	_	Australia	_	Western Australia	_	2067119
Kwinana	_	Australia	_	Western Australia	_	2068079
Kalgoorlie	_	Australia	_	Western Australia	_	2068823
Gosnells	_	Australia	_	Western Australia	_	2070571
Geraldton	_	Australia	_	Western Australia	_	2070998
Gawler	_	Australia	_	South Australia	_	2071059
Fremantle	_	Australia	_	Western Australia	_	2071223
Darwin	_	Australia	_	Northern Territory	_	2073124
Busselton	_	Australia	_	Western Australia	_	2075265
Bunbury	_	Australia	_	Western Australia	_	2075432
Armadale	_	Australia	_	Western Australia	_	2077579
Alice Springs	_	Australia	_	Northern Territory	_	2077895
Albany	_	Australia	_	Western Australia	_	2077963
Adelaide	_	Australia	_	South Australia	_	2078025
Woodridge	_	Australia	_	Queensland	_	2143069
Wodonga	_	Australia	_	Victoria	_	2143285
Werribee	_	Australia	_	Victoria	_	2144095
Warrnambool	_	Australia	_	Victoria	_	2144528
Wantirna South	_	Australia	_	Victoria	_	2144728
Wangaratta	_	Australia	_	Victoria	_	2144764
Wagga Wagga	_	Australia	_	New South Wales	_	2145110
Traralgon	_	Australia	_	Victoria	_	2146108
Townsville	_	Australia	_	Queensland	_	2146142
Toowoomba	_	Australia	_	Queensland	_	2146268
Thornbury	_	Australia	_	Victoria	_	2146793
Thomastown	_	Australia	_	Victoria	_	2146827
Tarneit	_	Australia	_	Victoria	_	2147357
Taree	_	Australia	_	New South Wales	_	2147381
Tamworth	_	Australia	_	New South Wales	_	2147497
Sydney	_	Australia	_	New South Wales	_	2147714
Surfers Paradise	_	Australia	_	Queensland	_	2147849
Sunnybank	_	Australia	_	Queensland	_	2147892
Sunbury	_	Australia	_	Victoria	_	2147914
Port Stephens	_	Australia	_	New South Wales	_	2148398
Springvale	_	Australia	_	Victoria	_	2148591
Southport	_	Australia	_	Queensland	_	2148928
South Grafton	_	Australia	_	New South Wales	_	2148997
Shepparton	_	Australia	_	Victoria	_	2149645
Seaford	_	Australia	_	Victoria	_	2149975
Saint Kilda	_	Australia	_	Victoria	_	2150660
Saint Albans	_	Australia	_	Victoria	_	2150717
Rowville	_	Australia	_	Victoria	_	2150894
Rockhampton	_	Australia	_	Queensland	_	2151437
Richmond	_	Australia	_	Victoria	_	2151649
Reservoir	_	Australia	_	Victoria	_	2151716
Queanbeyan	_	Australia	_	New South Wales	_	2152286
Quakers Hill	_	Australia	_	New South Wales	_	2152329
Preston	_	Australia	_	Victoria	_	2152558
Port Macquarie	_	Australia	_	New South Wales	_	2152659
Point Cook	_	Australia	_	Victoria	_	2152819
Pakenham South	_	Australia	_	Victoria	_	2153951
Orange	_	Australia	_	New South Wales	_	2154219
Nowra	_	Australia	_	New South Wales	_	2154787
Northcote	_	Australia	_	Victoria	_	2155001
Noble Park	_	Australia	_	Victoria	_	2155204
Newcastle	_	Australia	_	New South Wales	_	2155472
Nerang	_	Australia	_	Queensland	_	2155542
Narre Warren	_	Australia	_	Victoria	_	2155718
Narangba	_	Australia	_	Queensland	_	2155787
Mulgrave	_	Australia	_	Victoria	_	2156340
Mount Martha	_	Australia	_	Victoria	_	2156578
Mount Gambier	_	Australia	_	South Australia	_	2156643
Mount Eliza	_	Australia	_	Victoria	_	2156663
Mosman	_	Australia	_	New South Wales	_	2156813
Mornington	_	Australia	_	Victoria	_	2156878
Morayfield	_	Australia	_	Queensland	_	2156934
Moe	_	Australia	_	Victoria	_	2157343
Mill Park	_	Australia	_	Victoria	_	2157635
Mildura	_	Australia	_	Victoria	_	2157698
Melton	_	Australia	_	Victoria	_	2158151
Melbourne	_	Australia	_	Victoria	_	2158177
Maryborough	_	Australia	_	Queensland	_	2158562
Marrickville	_	Australia	_	New South Wales	_	2158626
Maroubra	_	Australia	_	New South Wales	_	2158651
Maitland	_	Australia	_	New South Wales	_	2159045
Mackay	_	Australia	_	Queensland	_	2159220
Liverpool	_	Australia	_	New South Wales	_	2159851
Lismore	_	Australia	_	New South Wales	_	2160063
Lilydale	_	Australia	_	Victoria	_	2160188
Launceston	_	Australia	_	Tasmania	_	2160517
Lara	_	Australia	_	Victoria	_	2160560
Langwarrin	_	Australia	_	Victoria	_	2160582
Lalor	_	Australia	_	Victoria	_	2160706
Keysborough	_	Australia	_	Victoria	_	2161532
Kew	_	Australia	_	Victoria	_	2161540
Katoomba	_	Australia	_	New South Wales	_	2161776
Hornsby	_	Australia	_	New South Wales	_	2163137
Hobart	_	Australia	_	Tasmania	_	2163355
Hawthorn South	_	Australia	_	Victoria	_	2163776
Hampton Park	_	Australia	_	Victoria	_	2163990
Griffith	_	Australia	_	New South Wales	_	2164422
Greensborough	_	Australia	_	Victoria	_	2164515
Granville	_	Australia	_	New South Wales	_	2164691
Goulburn	_	Australia	_	New South Wales	_	2164837
Gold Coast	_	Australia	_	Queensland	_	2165087
Glenroy	_	Australia	_	Victoria	_	2165200
Glenferrie	_	Australia	_	Victoria	_	2165329
Gladstone	_	Australia	_	Queensland	_	2165478
Geelong	_	Australia	_	Victoria	_	2165798
Frankston East	_	Australia	_	Victoria	_	2166143
Frankston	_	Australia	_	Victoria	_	2166144
Forster	_	Australia	_	New South Wales	_	2166309
Essendon	_	Australia	_	Victoria	_	2167208
Epping	_	Australia	_	Victoria	_	2167279
Epping	_	Australia	_	New South Wales	_	2167280
Engadine	_	Australia	_	New South Wales	_	2167312
Eltham	_	Australia	_	Victoria	_	2167445
Echuca	_	Australia	_	Victoria	_	2167817
Earlwood	_	Australia	_	New South Wales	_	2167949
Dubbo	_	Australia	_	New South Wales	_	2168305
Doncaster East	_	Australia	_	Victoria	_	2168605
Doncaster	_	Australia	_	Victoria	_	2168607
Devonport	_	Australia	_	Tasmania	_	2168943
Deer Park	_	Australia	_	Victoria	_	2169145
Deception Bay	_	Australia	_	Queensland	_	2169220
Dandenong	_	Australia	_	Victoria	_	2169460
Cronulla	_	Australia	_	New South Wales	_	2169956
Cranbourne	_	Australia	_	Victoria	_	2170078
Cranbourne	_	Australia	_	Victoria	_	2170079
Craigieburn	_	Australia	_	Victoria	_	2170089
Coffs Harbour	_	Australia	_	New South Wales	_	2171085
Coburg	_	Australia	_	Victoria	_	2171168
Clayton	_	Australia	_	Victoria	_	2171400
Wollongong	_	Australia	_	New South Wales	_	2171507
Cessnock	_	Australia	_	New South Wales	_	2171845
Castle Hill	_	Australia	_	New South Wales	_	2172111
Carrum Downs	_	Australia	_	Victoria	_	2172191
Carnegie	_	Australia	_	Victoria	_	2172264
Carlingford	_	Australia	_	New South Wales	_	2172303
Caringbah	_	Australia	_	New South Wales	_	2172311
Canberra	_	Australia	_	Australian Capital Territory	_	2172517
Camberwell	_	Australia	_	Victoria	_	2172686
Caloundra	_	Australia	_	Queensland	_	2172710
Cairns	_	Australia	_	Queensland	_	2172797
